LONGITUDE,LATITUDE,Haul_Index,F_LPUE,Depth,Temperature,Salinity,Distance_to_Shore,,Current_Speed,Cuckoo,Thornback,Blonde,Spotted
-5.61335,52.2058,BTS-VIIa/434/137/1993,0,92.97,13.782,35.043,39446.16797,,1.43,0,0,0,0
-6.18835,52.2358,BTS-VIIa/437/139/1993,0,34.19,15.435,34.422,10000,,1.5,0,0,0,0
-4.3559,52.3158,BTS-VIIa/321/134/1993,0,20.43,17.232,34.192,10630.14648,,0.49,0,0,0,0
-4.7541,52.4216,BTS-VIIa/416/133/1993,0,40.91,15.836,34.437,32249.03125,,0.78,0,0,0,0
-5.36755,52.4567,BTS-VIIa/432/132/1993,0,88.17,13.907,34.921,52009.61328,,1.4,0,0,0,0
-5.84255,52.4975,BTS-VIIa/430/131/1993,0,70,14.663,34.389,25298.2207,,1.4,4,0,0,2
-6.1692,52.57755,BTS-VIIa/237/130/1993,0,12.83,16.229,34.273,2236.068115,,0.84,0,0,0,0
-4.2658,52.6267,BTS-VIIa/316/120/1993,0,16.29,16.827,34.133,10049.875,,0.44,0,0,0,0
-4.48255,52.73415,BTS-VIIa/309/118/1993,0,28.12,16.482,34.155,6708.203613,,0.52,0,8,0,0
-6.115,52.7534,BTS-VIIa/233/129/1993,0,13.05,16.099,34.27,1000,,0.8,0,0,0,0
-4.26255,52.79085,BTS-VIIa/313/119/1993,0,10.55,16.688,34.126,8062.257813,,0.31,0,4,0,0
-5.64005,52.84,BTS-VIIa/413/128/1993,0,65.21,15.415,34.117,28160.25586,,1.52,2,0,0,0
-5.3584,52.98495,BTS-VIIa/441/121/1993,0,71.02,14.746,34.244,44000,,1.5,0,0,0,0
-4.85085,52.9433,BTS-VIIa/442/117/1993,0,57.41,15.189,34.593,14212.66992,,1.27,0,0,0,0
-4.49335,53.0325,BTS-VIIa/305/116/1993,0,16.39,15.462,34.494,6403.124512,,0.46,0,0,0,0
-5.7391,53.1242,BTS-VIIa/440/127/1993,0,17.39,15.31,34.185,21000,,1.14,4,0,0,2
-4.6516,53.13915,BTS-VIIa/302/115/1993,0,37.39,15.305,34.468,12529.96484,,0.88,0,2,0,2
-5.21585,53.2667,BTS-VIIa/421/122/1993,28.3547619,93.47,14.455,34.287,35000,,1.28,0,0,0,0
-5.94255,53.1992,BTS-VIIa/229/126/1993,0,36.23,15.326,34.208,10049.875,,0.78,0,0,0,0
-4.04415,53.34505,BTS-VIIa/39/53/1993,0,13.9,16.508,34.194,3000,,0.76,0,0,0,0
