Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/434/137/1993,52.2058,-5.61335,92.97,13.782,35.043,1.43,2.350328125,39446.16797,0,1008.322222,0,0,0,0.511463456,3912.137536,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,6,0,0,0,0,0,0,0,6,4,4,6,0,0,0,0
BTS-VIIa/437/139/1993,52.2358,-6.18835,34.19,15.435,34.422,1.5,0.3340625,10000,0,5222.948148,0,0,0,0,0,386,22,2,430,0,0,0,0,16,16,6,16,540,8,0,540,0,0,0,0,0,0,0,942,46,8,986,0,0,0,0
BTS-VIIa/321/134/1993,52.3158,-4.3559,20.43,17.232,34.192,0.49,0.3340625,10630.14648,0,9966.455556,0,0,0,0.894867407,5535.695809,0,0,0,0,0,0,0,0,74,14,0,74,4,0,0,4,0,0,0,0,0,0,0,78,14,0,78,0,2,0,20
BTS-VIIa/416/133/1993,52.4216,-4.7541,40.91,15.836,34.437,0.78,0.975601563,32249.03125,0,9966.455556,26.24374988,279.5801554,20794.25052,0.894867407,5535.695809,2,2,2,2,0,0,0,0,14,14,0,14,232,174,14,234,0,0,0,0,0,0,0,248,190,16,250,0,4,0,4
BTS-VIIa/432/132/1993,52.4567,-5.36755,88.17,13.907,34.921,1.4,2.350328125,52009.61328,0,1008.322222,0,0,0,0.511463456,3912.137536,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0
BTS-VIIa/430/131/1993,52.4975,-5.84255,70,14.663,34.389,1.4,2.350328125,25298.2207,0,1008.322222,0,0,0,0.511463456,3912.137536,2,2,2,2,0,0,0,0,0,0,0,0,6,4,0,6,0,0,0,0,0,0,0,8,6,2,8,0,0,0,0
BTS-VIIa/237/130/1993,52.57755,-6.1692,12.83,16.229,34.273,0.84,2.350328125,2236.068115,0,522.6481481,0,0,0,0,0,76,4,0,118,0,0,0,0,196,58,0,204,70,2,0,72,0,0,0,0,0,0,0,342,64,0,394,0,2,0,4
BTS-VIIa/316/120/1993,52.6267,-4.2658,16.29,16.827,34.133,0.44,0.3340625,10049.875,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,4,2,0,4,14,8,2,14,0,0,0,0,0,0,0,18,10,2,18,0,0,0,12
BTS-VIIa/309/118/1993,52.73415,-4.48255,28.12,16.482,34.155,0.52,0.254375,6708.203613,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,8,4,0,8,70,40,12,72,0,0,0,0,0,0,0,78,44,12,80,0,12,0,0
BTS-VIIa/233/129/1993,52.7534,-6.115,13.05,16.099,34.27,0.8,0.3340625,1000,0,522.6481481,0,0,0,0,0,12,0,0,18,0,0,0,0,1204,130,0,1450,326,12,2,354,0,0,0,0,0,0,0,1542,142,2,1822,0,0,0,2
